date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI
2015-01-01,11101,Thursday,4,1,2015,,,1,1,1
2015-01-02,11101,Friday,5,1,2015,,,1,1,1
2015-01-03,11101,Saturday,6,1,2015,,,1,0,1
2015-01-04,11101,Sunday,7,1,2015,,,0,0,1
2015-01-05,11101,Monday,1,1,2015,ServiceCampaign_A,Cultural,0,0,0
2015-01-06,11101,Tuesday,2,1,2015,ServiceCampaign_A,Cultural,0,0,0
2015-01-07,11101,Wednesday,3,1,2015,,,0,0,0
2015-01-08,11102,Thursday,4,1,2015,,,1,1,1
2015-01-09,11102,Friday,5,1,2015,,,1,1,1
2015-01-10,11102,Saturday,6,1,2015,,,1,0,1
2015-01-11,11102,Sunday,7,1,2015,,,0,0,1
2015-01-12,11102,Monday,1,1,2015,,,0,0,0
2015-01-13,11102,Tuesday,2,1,2015,SuperBowl,Cultural,0,0,0
2015-01-14,11102,Wednesday,3,1,2015,,,0,0,0
2015-01-15,11103,Thursday,4,1,2015,,,1,1,1
2015-01-16,11103,Friday,5,1,2015,,,1,1,1
2015-01-17,11103,Saturday,6,1,2015,,,1,0,1
2015-01-18,11103,Sunday,7,1,2015,,,0,0,1
2015-01-19,11103,Monday,1,1,2015,,,0,0,0
2015-01-20,11103,Tuesday,2,1,2015,,,0,0,0
2015-01-21,11103,Wednesday,3,1,2015,NPI_Launch_Q1,Cultural,0,0,0
2015-01-22,11104,Thursday,4,1,2015,SuperBowl,Cultural,1,1,1
2015-01-23,11104,Friday,5,1,2015,NPI_Launch_Q1,Cultural,1,1,1
2015-01-24,11104,Saturday,6,1,2015,,,1,0,1
2015-01-25,11104,Sunday,7,1,2015,,,0,0,1
2015-01-26,11104,Monday,1,1,2015,,,0,0,0
2015-01-27,11104,Tuesday,2,1,2015,,,0,0,0
2015-01-28,11104,Wednesday,3,1,2015,,,0,0,0
2015-01-29,11105,Thursday,4,1,2015,,,1,1,1
2015-01-30,11105,Friday,5,1,2015,ServiceCampaign_A,Cultural,1,1,1
